CaseOrder,Tenure
5335,52.42146
572,20.01892414
2301,5.111421
1544,1.992846597
4327,6.246694
7512,55.06506
907,3.105139512
8128,55.39854
352,9.001231999
7026,69.70806
3907,8.666281
4189,6.783568
6726,64.64603
952,1.59959844
4902,2.696846
5219,54.0433
2305,12.69435
1729,24.3036064
4191,6.184958
6454,68.17558
6457,71.60926
8266,48.9954
1858,3.857491515
7218,49.6365
1750,8.785452901
63,7.960490246
17,15.78214958
4146,4.154665
5646,71.3084
7340,48.10173
4358,23.55037
2836,12.57563
314,8.892893007
4938,12.27603
7488,65.37201
4897,11.12081
964,1.153881327
9939,58.10724
1654,2.162477942
2642,10.00949
4983,2.63695
7336,45.09367
6353,64.32344
2348,16.25256
5214,65.28334
9013,57.44563
2983,2.089917
7151,57.95136
2151,5.099454
1822,9.585621689
8903,39.83368
1670,3.810228199
5439,68.65945
8385,48.50031
5324,66.61872
4254,13.99745
7164,66.67798
6257,71.44432
4554,3.071976
6938,64.4649
8955,69.30616
3692,5.848803
1139,9.343807204
5547,60.9767
1684,15.34839938
4860,11.61657
665,11.34954445
7595,63.52797
6138,63.66258
8613,64.68179
3896,4.72236
7972,51.35655
1485,3.160392389
9196,55.27092
7809,71.24628
6827,68.4792
6584,61.3942
2677,2.237975
408,13.46565415
4608,24.69325
9406,60.54294
8764,38.29305
2785,3.474901
1455,10.11687657
1005,9.188837964
9494,55.74944
4969,5.533306
7424,53.82086
7775,57.33546
8593,71.2039
719,9.472450618
6019,52.07024
9625,59.1861
8937,57.39587
559,8.874920206
7974,65.40394
2703,9.436909
1051,18.05033087
3225,15.14561
7850,47.65766
2664,4.469398
5768,61.74103
4639,13.16047
8089,47.94936
8502,49.22149
6386,65.67297
5474,51.55857
2020,5.111408
3292,7.603445
2976,6.039499
666,1.846161288
2254,3.374565
2150,5.29727
5192,63.05897
2913,10.48284
804,11.95255483
5512,62.11401
4582,7.812114
9861,61.78348
7731,70.43313
7917,55.29166
9385,65.01223
7928,66.8616
6322,57.76658
7517,38.34946
8896,67.15929
8544,70.56361
8473,69.86605
6956,43.84471
558,1.410971237
2456,5.23657
3921,3.230823
6406,64.78357
652,10.57261422
6561,52.36353
8975,60.91995
2349,17.4028
5671,58.42233
7455,54.80402
3690,7.490867
306,3.834727471
7672,48.3857
5845,69.95421
3859,5.799375
8991,67.01837
4737,6.723311
2378,9.933523
2765,1.201025
2814,8.479465
545,7.073151031
2026,4.773251
9283,56.20288
3615,1.364515
1484,7.822562679
6743,65.66392
8842,58.57249
6476,66.60339
9025,68.49174
4696,16.64412
8221,56.79773
4166,4.618962
6350,66.67669
9951,71.52099
1838,5.252073829
6617,68.7415
3364,8.924108
4904,20.16597
6338,63.63312
1574,5.784022533
7593,56.29735
4703,11.739
4821,29.71753
2352,2.763224
1656,1.424712099
2904,7.467093
1883,2.497790261
5015,71.66705
1132,3.12313921
6718,42.15567
1297,11.08150154
1650,5.045543619
7771,55.591
1638,6.955766017
4936,15.19674
6436,66.12646
8322,45.62851
6158,60.16638
3407,7.348696
3707,5.88788
6814,50.80026
8012,65.97991
9521,66.89696
2354,1.482474
4802,8.696148
8034,54.06378
3691,9.447103
6923,63.10955
5500,52.16336
9513,68.20701
2182,6.074592
9518,54.89306
3016,7.179432
8667,67.91936
4642,7.813168
1448,4.843533662
4804,14.45396
5716,54.78051
5718,47.40586
8103,68.4249
3220,2.149435
9059,41.18372
9706,65.63324
635,3.769989038
3178,5.623623
3070,16.01922
8917,66.22321
2037,7.231407
956,9.759495559
793,5.310878954
7225,50.34057
3449,10.50792
1855,19.79804917
5222,55.2288
6188,45.50676
9815,56.68677
8513,67.06183
2774,12.01983
8210,41.93978
593,15.37990405
607,7.737353244
1384,5.812856338
220,4.95598008
2473,1.895979
4555,3.246478
8909,71.21292
8339,66.13718
5634,46.30619
4205,1.203982
2688,22.12945
6325,68.46135
7232,71.23368
9424,62.08608
3760,2.531394
5735,71.02256
5128,60.94251
2589,25.72493
3297,9.244926
2576,1.311693
5737,62.15286
283,3.778174405
8231,61.28236
4882,2.223563
250,2.243757398
9551,64.67477
3914,4.86918
1917,4.385448215
8238,44.72241
8620,65.19543
5387,58.86685
9334,69.69574
389,2.993625911
6640,57.0263
4443,21.36386
926,4.245035615
6247,57.78133
7073,65.21612
228,9.004964377
5147,62.70697
441,3.364993591
3385,1.320603
7005,70.24121
1930,22.37864487
7381,50.68244
2886,19.6274
4422,15.1242
901,11.55987401
3089,20.72068
9005,70.86194
8633,46.65167
4336,13.19063
8306,69.22914
8663,45.48614
3942,23.49138
7406,41.14853
6276,68.59602
6757,65.66308
1072,11.18792763
5934,52.66447
5066,61.32409
1856,16.86058234
4244,9.079335
4686,4.527148
521,20.43854626
3332,23.18508
8699,70.22382
9232,59.21421
2984,10.94284
2043,11.71454
6474,45.72931
1588,5.105265612
4576,7.84461
1848,14.26734448
7736,56.77763
8255,63.86146
8341,71.68832
5307,49.78137
8031,69.59294
7111,63.411
3857,21.42092
264,10.23679934
7617,53.36122
4968,2.397122
9270,50.89975
7443,71.14876
4773,7.354812
6563,66.72045
554,10.40161068
8360,60.08382
1374,2.045299662
7705,61.0006
7875,55.10455
3108,7.53282
7604,59.84762
8208,42.32324
7290,66.2968
556,7.604093453
8229,71.70793
9810,61.47977
8872,65.87966
4407,2.780152
3533,5.186633
4300,9.517804
9664,59.78701
3680,3.235443
9198,67.71954
4778,10.12764
8974,65.33904
8813,60.99965
9472,64.04466
6294,49.22663
7301,56.53814
5762,57.13921
9581,66.59987
5037,62.48639
5157,71.51772
1952,1.00025934
2144,13.17391
2952,11.05993
9111,55.44991
9965,70.2982
1557,11.32593703
3605,11.29098
2402,4.323297
7170,63.20516
120,9.344886869
4469,9.790274
562,4.902104964
3082,1.294635
7613,51.40304
803,14.60526414
2198,4.798977
7199,69.91626
2570,3.765838
6155,59.81234
3976,3.430472
8198,68.03889
9227,59.52044
5490,67.2235
7324,47.30434
5482,49.8342
6025,55.20008
2285,18.13802
7537,61.68428
4221,1.923729
5181,71.57982
8638,71.3757
18,2.303331273
5108,42.36505
8496,70.99524
1994,3.99171522
5216,46.778
6464,50.89196
1029,9.539729035
5119,42.36211
8817,65.27026
8169,68.79253
2604,1.506136
6745,52.0883
1687,6.70301496
2897,6.726078
8646,62.80581
3351,8.399966
5856,62.39739
3717,1.177776
8249,62.84168
176,12.64742067
402,1.28507969
3073,11.20366
7102,70.31689
5981,67.28766
8602,59.16197
6711,38.02352
7886,53.79471
5436,58.32931
1038,2.39088492
7277,70.71182
6331,57.29968
8081,48.77002
9499,59.54373
6706,65.60019
6682,71.91816
9831,66.39293
2412,6.452058
6697,58.85612
985,9.485268741
6433,71.77038
8190,69.25731
730,29.8284414
6999,70.69523
3656,28.31146
9641,67.26893
5591,69.7635
1122,3.147892285
3064,2.437932
9268,67.00167
5298,61.25573
9419,46.94705
6860,52.13448
5559,43.2487
8434,60.74742
1677,1.019306038
1976,12.57273206
1854,9.630236452
8694,68.18047
4249,12.48694
5834,68.63236
7912,47.24188
385,17.18829795
6185,70.98518
706,19.28424826
3245,6.645392
944,1.550579619
8464,64.48112
4314,9.564915
7921,50.84495
7435,63.70026
2496,16.87028
2511,8.386909
2941,15.23335
7257,64.52906
7319,69.348
4016,2.866331
8535,67.25716
9652,48.65096
5632,61.84801
5019,67.15579
6059,65.18605
7318,45.8143
7843,71.74549
6327,71.36043
5637,58.05485
8776,39.42138
8458,62.99453
4786,12.9557
5989,71.66334
5703,61.78729
6611,38.7682
5105,55.2092
7127,55.85956
2240,3.020801
9200,48.61807
5888,58.9945
8175,69.70038
4591,17.38432
7655,63.90452
9039,63.03296
6624,52.9098
3398,7.557333
9192,46.66704
2032,11.93639
3120,10.18298
9535,58.20259
5276,43.1183
2359,2.477945
4570,6.186874
1690,6.735271694
3474,5.318865
8846,53.60305
3872,9.548023
4749,7.751707
8138,65.13371
3517,22.97518
5892,40.7843
9691,48.07729
7903,67.58811
4913,11.69119
3306,14.24378
1091,5.824620949
2719,1.13143
589,11.85998919
661,5.991017375
5,1.670971726
7538,70.62749
9235,66.03306
3428,4.075856
785,2.968358466
1310,7.925553778
6780,44.94292
4251,4.082591
2879,6.6307
2327,9.23286
9779,50.09011
2462,5.9717
1513,17.4880629
7871,70.11539
5999,58.94486
5532,58.64675
6193,61.20259
2436,20.22191
6063,45.58687
983,1.796688583
201,1.474810061
3490,2.313262
8070,71.09348
9705,67.75508
6806,38.6818
4105,15.15905
1225,18.42609229
5986,47.50976
2944,10.91353
9742,60.45443
3179,16.31066
7584,39.71501
5026,60.14645
6271,59.55192
4425,1.970645
5578,59.86174
5813,50.98192
55,12.07970325
5426,65.52605
8861,50.55452
8829,70.56821
1087,8.92504512
2713,7.359812
1391,7.195646567
1535,11.48699577
6952,53.26798
8042,53.62757
5881,71.80429
3166,6.894406
9832,66.2578
1628,5.810822315
7975,46.68593
8577,41.09672
23,6.652298992
3902,13.72584
5389,54.03025
9486,68.30856
6577,63.097
5494,63.04335
1462,3.724597242
8497,66.89948
2403,5.792794
9612,70.18387
5524,62.01898
1222,15.82334026
2606,4.148103
8363,45.22174
6426,59.74092
7244,49.01677
4299,14.55246
3892,8.752114
7483,65.02015
8707,55.49451
1777,21.61213506
1052,8.700517617
1978,14.51274009
9095,66.82797
619,2.981008475
1600,3.195246168
8270,52.64455
4670,10.99037
2346,14.95975
5550,47.4558
4238,4.098818
7967,63.83787
4307,7.633263
6133,58.26304
218,16.03360405
6421,68.30662
9827,54.93761
7743,63.91757
249,12.00466914
5170,69.17356
5929,53.4492
4076,2.558218
7877,45.10633
9570,46.90599
8697,61.8783
8781,60.72007
9936,70.50359
5791,70.17488
5472,57.81554
5864,70.00887
7124,65.15223
1832,11.76797971
5109,53.07379
6574,47.67299
4447,2.509742
2071,5.430488
3206,4.532646
9250,66.50393
6483,70.85122
1565,2.916144419
3497,1.359104
941,5.915225146
2578,5.525134
4168,18.67357
5838,57.44027
2357,8.327722
455,7.457173484
8847,54.37409
1715,1.515290738
5048,67.47739
2571,12.50419
762,1.754385394
5024,56.63931
1148,7.95236848
5274,43.3907
8015,40.80483
8985,69.98687
6499,68.61371
6328,70.68154
2229,9.526371
5911,69.83332
1951,1.770031252
2120,14.29414
5948,52.54837
1665,6.5443199
7141,69.29186
3696,3.992629
5293,64.56659
2146,24.34252
5473,67.8576
1288,1.156719701
2763,18.2103
8827,60.31971
463,13.99579075
2189,8.907101
1964,3.27055489
5953,56.63276
5368,53.45259
3658,10.55165
4277,5.493065
9029,42.59461
5626,62.37954
1254,13.13159395
4387,17.77264
1154,7.077999389
3217,4.939997
8323,66.16108
7934,51.04299
7437,55.67036
6035,58.36624
8222,55.04679
4181,12.3548
1685,7.355635728
7031,71.14976
1415,3.847102787
1410,1.522691557
875,14.89720747
1942,9.660168743
9769,69.08879
4454,19.22796
4372,14.34892
1876,7.827055149
6882,55.47116
7468,50.80222
7969,54.23761
4286,6.418936
8583,65.06621
9672,54.64758
3860,6.072026
4649,7.276075
3818,2.440105
9184,71.07066
8971,43.52477
9655,66.969
6379,44.59308
4840,9.386672
1579,11.53737155
966,2.625315241
8098,47.16189
4259,20.52789
2109,6.765777
7840,54.12731
1512,2.60003549
1886,3.032321354
3978,3.932102
6502,65.62879
8734,60.50817
9853,69.8568
1103,9.2766412
7322,66.99456
1749,15.08846657
8666,54.42917
9038,38.14529
8245,70.89738
2409,19.14395
7794,47.56294
8206,64.44587
3831,4.534691
8911,59.78823
9559,60.7205
5479,59.27489
6765,69.83213
414,11.32083915
3909,11.00328
3405,10.07068
1191,10.7468963
2958,7.773669
8763,62.53352
8155,65.66053
7093,41.71275
2806,7.874579
1041,3.644232332
6137,47.34761
3260,1.611266
7348,63.88775
322,13.67931764
9952,48.82626
6750,67.20269
9526,61.50738
4270,4.072959
3775,3.613493
1818,9.984220981
1076,3.218751358
7041,43.34462
146,2.733109234
9006,67.11209
3381,6.029814
560,6.013261132
2910,16.42222
2782,14.36866
4366,7.539374
518,7.226076469
7602,50.09435
7070,66.66853
9562,55.88547
7774,68.23146
4141,4.984488
7536,61.16662
2919,9.453234
4881,6.398242
3650,10.86612
9600,48.06765
2997,2.1782
712,11.84987964
4180,8.450712
8409,64.08859
7212,71.39672
7266,59.3991
274,11.77389421
4741,9.986348
6559,53.77815
117,6.311709178
2362,11.14615
3330,3.555031
7648,41.74273
2084,2.958575
5167,59.67215
1920,11.92905011
9040,56.56173
8938,60.74786
6075,50.46332
4483,11.17891
4031,1.115115
2939,3.294082
5129,70.52235
7733,70.69978
848,1.078815111
9396,67.19978
6475,60.6238
6591,68.52821
7496,64.30983
5690,60.34404
8865,70.19945
8049,56.53633
1636,25.55038197
4369,7.649477
8691,66.54637
3475,6.460792
8939,69.82128
412,10.27819073
8118,64.62702
6823,63.99811
4009,21.51433
457,10.5903229
8855,71.53606
9214,51.8548
8687,59.1268
4423,9.49754
5156,50.18296
4676,14.28503
4411,13.84934
5283,51.57289
1414,4.452382314
2057,16.59389
5758,62.04664
6903,67.70921
4287,8.052952
2890,14.34935
9686,58.53134
9921,57.46466
600,17.28022598
2224,10.57654
1830,4.499945782
6554,50.02343
9976,55.30151
5680,54.71778
5594,65.49323
7977,58.69071
5811,59.6057
8006,70.42914
4201,1.474087
9282,70.95851
2521,12.52502
7802,63.94696
2420,9.119628
2175,9.759887
3485,27.44938
5333,53.77863
3408,7.756546
6825,68.21396
9119,69.93494
824,1.128335443
158,5.969967132
2730,5.294527
3427,3.511593
7569,52.75072
5551,65.73734
4940,1.556533
8988,65.03219
7727,67.50861
7142,62.50474
7503,63.52166
6001,44.09777
9452,63.40014
6538,47.1164
2530,16.81789
6708,57.51601
4080,3.80496
5103,61.62341
2816,4.99913
2506,5.585004
6830,43.10629
9202,71.48476
1177,6.339408608
9532,52.38371
2073,6.799748
1067,14.7804282
327,22.8577804
8679,43.49892
9907,66.88131
2132,3.543665
9317,70.05743
227,6.035737465
4730,5.364231
8661,56.21975
8150,70.66353
8441,63.70616
1831,6.57513059
6221,55.17028
253,15.28108311
7659,64.1725
4962,5.461422
2699,17.55759
3545,10.6052
6465,55.22194
5104,58.51566
756,21.1875693
3033,7.311512
1551,20.17588966
2466,3.761061
2080,9.881597
102,11.13472066
1706,16.37219797
5348,59.52291
3494,2.057502
8076,60.57969
9794,62.25655
4070,4.736816
6817,60.06677
7305,62.64968
3207,10.49454
4018,7.235576
8928,59.29358
6532,37.5471
3333,8.442986
5825,59.79068
9175,63.71215
8709,70.50313
1922,3.259826777
1078,8.853636698
2253,15.13792
6747,67.32648
6527,45.30473
6295,71.20584
5839,50.46018
9840,65.07998
3252,5.875553
9731,48.38976
3348,9.176772
9262,58.8386
6407,51.41313
8309,67.23058
6609,54.22191
3204,1.113741
5202,66.85703
7358,49.53164
4515,5.379951
1383,4.891651665
3499,21.56869
8924,58.36296
6713,61.76369
2272,2.977062
3024,19.77964
6401,49.30109
2196,2.201845
4096,17.92442
544,14.71424943
2705,1.717359
1587,2.593102097
2962,9.561875
2920,3.109148
2137,2.465822
4284,1.52349
9821,62.96706
4883,7.277274
9573,65.14504
855,8.802527803
8521,56.24647
7857,66.36071
3397,3.409799
4370,16.60351
1810,8.013365588
1762,17.96501147
2837,7.606099
8963,58.82987
1737,14.10031907
843,17.37839741
2601,12.359
8403,43.93445
4626,17.74303
9062,56.50636
4853,5.695207
3810,2.942297
6918,58.45536
3291,6.207517
4098,18.44164
2199,14.1687
2250,3.459881
1790,3.312263064
3776,6.830372
7423,60.7303
7623,67.76809
851,11.38490458
6840,67.675
8002,51.67996
7757,62.43485
2872,9.430096
8744,47.1766
5148,54.09422
5460,47.02878
3870,18.4468
725,9.758067608
367,7.663625954
8348,43.04477
4022,10.30326
5003,61.5999
6128,43.51717
6599,63.75133
3814,2.398402
8284,61.85982
2342,9.584536
4946,8.596064
204,14.17192333
9260,52.69603
7285,65.50792
4231,9.031197
7597,71.67026
4775,4.043292
5799,47.91787
5303,56.98256
5525,64.8122
3028,18.47081
638,24.39432985
7685,54.37108
9911,57.24323
9727,66.42406
9355,66.78251
928,6.434280902
196,3.226996711
4684,2.292165
1740,17.34018575
5858,68.14379
8510,64.2498
5978,63.26277
1311,3.685081574
2727,10.22422
5232,60.16962
4671,5.833919
3738,17.02059
1752,3.319853958
7352,63.84542
5182,40.35625
3990,13.21976
6606,68.16171
1828,6.624439911
1655,14.5222363
9469,54.74318
9688,61.53436
6301,54.7248
6467,58.01836
8369,50.3835
1421,6.086525665
1317,4.633545041
6440,58.70772
5090,70.42389
4446,1.210715
3765,4.610249
9197,61.42667
7363,68.80222
6370,46.30752
6600,69.4907
3168,8.989805
3725,16.22394
2646,1.99818
792,3.087125795
3284,14.66848
2234,8.492867
7047,60.2958
4413,13.00557
2317,1.270546
8642,47.62011
1382,31.10956637
8218,69.66186
5674,66.77188
4174,10.31681
8949,71.35403
4485,1.204999
6372,71.51954
1658,6.526670837
7982,51.38074
9881,44.57688
4155,3.988032
9707,63.80541
3432,5.387532
9020,62.70815
1702,4.759938908
8773,41.23951
471,1.092219692
5538,66.63528
2121,28.28911
2380,19.57075
1578,3.509036092
2828,8.259716
4303,12.69881
1249,2.694014031
9309,67.53219
1639,20.31446952
4118,12.50526
251,1.583394702
9276,55.85553
3531,21.20428
4414,6.92143
6263,67.93831
3566,9.396957
5091,51.31462
4601,10.35845
5521,62.85596
5527,68.68481
3649,8.83974
1955,16.56587766
1395,7.321650003
1870,9.351000629
2165,7.890163
9826,50.8022
1478,1.350108155
728,8.508626757
2609,1.563383
8437,55.75197
377,7.065506244
557,12.85397739
5861,48.44746
2180,4.632153
7027,52.75131
8912,52.20049
3272,11.07503
3158,3.589597
6668,55.61318
5396,52.20263
7637,62.76892
8321,64.52797
1794,1.921647847
5990,64.19903
2090,4.791566
4657,8.747794
4873,8.686291
135,9.482919033
6505,63.5876
346,8.381515693
6443,50.86377
9994,59.86596
6951,67.72095
7591,66.58823
1112,11.45319603
9213,50.48733
73,7.980015371
5906,48.31617
1162,14.41890198
1693,9.320973584
3908,2.970609
3376,18.11168
4637,12.4341
2011,9.390135
2590,1.393262
6838,60.64795
2435,12.0068
3101,3.493433
1422,3.295993837
8800,64.48578
8749,57.98413
4826,5.156634
4607,2.347884
9483,71.99928
3762,12.80172
8757,63.90796
3832,6.209949
6730,63.08587
3834,7.413447
3199,14.84017
2696,8.377189
9284,59.36904
7044,64.83209
439,14.16961729
2969,4.367739
1933,10.1127187
5670,45.59475
6497,57.83255
6332,69.48178
655,2.451160296
4014,2.09057
8090,68.22138
5554,61.38199
6768,55.06671
6336,60.07014
7768,54.55234
9067,65.33881
8660,61.63116
4906,2.553094
2594,19.26465
6366,71.89548
6839,65.52033
5736,42.80596
3947,11.38257
539,10.6312597
5261,57.63594
4825,11.99482
1605,3.954689282
5570,71.03451
5038,48.57163
6910,57.53786
3286,16.5488
5540,59.6877
3296,9.961602
6308,62.32241
8662,46.63416
7932,65.51344
1567,11.45756486
9120,58.57229
9394,65.15995
9457,45.5098
2917,11.9781
5194,66.46762
7221,52.96043
988,7.55918608
7951,69.18745
2271,7.944389
6092,45.62317
5651,67.1766
4547,17.95045
127,4.627672042
2257,5.229738
3041,2.10678
6886,44.34553
4949,1.312447
8632,62.78671
5081,61.79462
7157,71.35208
9774,60.45224
9643,70.30088
6683,50.4403
3226,5.902195
3741,16.55879
7370,67.87033
1910,25.36784311
286,20.78013031
7526,42.01051
315,7.661226872
3328,7.685124
1722,1.789830613
969,2.380500918
459,5.440398012
681,7.320050181
2480,4.355677
978,3.857300987
1961,2.867284438
8671,47.428
3985,3.199643
3973,11.98109
1526,2.170567319
2724,8.962034
4208,11.66425
9981,54.05623
6435,65.62921
59,15.72071086
1682,12.18544178
6072,57.38041
9689,67.9711
7367,44.60874
8243,56.3981
863,2.010353461
7050,66.27571
7397,70.02963
8252,70.4936
780,8.908332009
5687,68.29684
3791,9.747138
9349,53.03214
5345,65.49474
8233,46.2718
7663,66.97927
2810,11.71559
4029,16.96026
1327,10.92247392
4835,3.305552
3278,2.049307
4185,6.311363
4237,14.61254
2635,2.599617
4356,17.7076
8503,52.60487
9443,39.27473
2479,20.13722
7976,67.5017
8943,53.25801
8682,57.35881
3744,13.02429
5337,58.7019
4424,15.22417
1549,12.77495667
608,4.109952242
717,16.75922789
4517,8.561641
365,24.8868126
444,7.262579715
1248,17.63783701
2262,4.066925
8553,44.68507
1786,17.56134872
4752,5.792269
3675,11.30129
7094,41.22287
2005,7.976237
2068,9.061231
3197,3.052755
7409,54.84444
3640,23.28091
9462,51.83082
4245,3.984772
7458,66.89083
871,2.086431077
420,6.325942162
5412,61.72165
6123,40.35081
9834,62.10686
4659,13.69077
1090,6.681362911
9523,60.33663
5837,69.97238
4152,5.814507
1156,10.39427126
1795,8.248755691
6994,69.39989
3823,21.06092
2743,8.527084
1829,5.643360294
6056,70.04054
9676,68.4414
6669,68.04207
6118,49.04885
2780,12.95415
6537,54.78319
4537,21.55836
9900,71.54108
6996,70.8043
7122,53.66352
8982,70.26887
1504,6.22226629
5467,68.90613
9662,60.85274
1343,10.46190099
4900,4.377435
3958,16.74968
7192,48.15455
2492,4.847411
5790,61.62652
9253,61.10374
9614,62.29043
5702,70.64297
3355,4.066766
7439,62.281
6598,70.83916
7386,56.1113
5730,52.65622
3311,6.365101
8096,48.87162
1257,2.439520256
1555,12.63923748
5516,52.03938
2736,7.923777
8251,63.64621
7029,53.90195
9620,64.90439
1233,18.81607435
7895,52.21545
5677,68.00844
6429,58.10315
1785,6.418130939
3729,4.078283
2193,17.98438
5327,54.58835
5344,59.02827
8774,49.20691
1571,7.897660605
8199,62.71338
5054,71.53343
1229,3.852627275
4125,4.827032
6170,56.53318
5854,60.54883
9970,47.32195
1010,6.524843094
1728,13.72354614
4685,10.06351
3437,11.64763
2848,5.448172
731,7.004427474
3482,8.369827
