CaseOrder,Bandwidth_GB_Year,Device_protection,Online_backup,Options
8254,5581.366717,0,1,4
7095,6247.176227,0,0,5
8755,4737.057384,0,0,5
3681,1803.186158,1,1,3
570,1695.851887,1,1,5
4644,2523.250672,0,0,4
2404,969.0951508,1,0,2
7990,5645.924053,0,1,3
7355,4492.115868,1,0,3
5914,6242.49162,0,0,5
8412,5510.855205,0,0,5
9963,5080.902489,1,0,5
7357,6034.69613,0,1,4
3693,1185.85182,0,0,2
5598,4197.55311,0,0,3
7883,5128.90263,0,1,4
4220,1186.8504,0,1,4
5301,5989.870888,0,0,5
1256,1964.775503,0,0,3
4513,410.7703918,1,1,2
5065,6095.07687,1,0,2
6514,4578.436559,0,1,4
4868,569.8410423,1,0,4
7421,6754.429939,1,1,2
5740,6205.696339,0,0,4
203,2088.48083,0,1,3
7891,5999.971412,1,0,4
1533,1773.915003,1,0,3
6970,5652.969841,1,1,1
2493,929.5655793,1,0,3
597,1614.036609,0,0,3
7873,6568.053155,0,1,4
2786,694.2731917,1,1,5
5308,5450.915329,1,1,3
3596,599.0290899,1,0,3
8351,3788.13967,0,0,3
1759,769.7818684,1,0,4
300,1165.564309,1,0,3
4590,904.3179865,1,1,2
801,1810.319743,0,0,3
3578,2499.22788,1,0,3
4838,1536.363525,1,1,4
3068,727.8878928,1,0,4
2859,2060.606368,1,0,3
1826,661.2094379,0,1,4
5212,6448.95087,0,1,3
9416,5978.10151,0,0,4
5335,4592.61237,1,0,4
572,1950.886897,0,0,2
2301,655.4787829,0,1,5
1544,718.7685676,0,0,4
4327,638.1637463,0,0,2
7512,4794.084269,0,0,3
907,809.979871,1,0,4
8128,5114.637099,0,1,1
352,1852.503069,0,1,3
7026,6528.343934,1,0,5
3907,1062.367672,1,0,5
4189,1001.378182,0,0,3
6726,5568.279974,1,0,4
952,427.0934802,0,1,5
4902,808.114485,0,1,3
5219,5114.91266,0,1,3
2305,1444.696816,1,0,3
1729,2419.797484,0,1,3
4191,1468.274084,1,1,4
6454,5680.973666,0,0,4
6457,6109.236207,0,0,3
8266,4940.002327,0,1,3
1858,939.8765686,1,0,4
7218,4147.198681,1,0,5
1750,1608.002659,0,0,5
63,1416.444695,0,1,3
17,2070.376729,1,1,5
4146,412.7637414,0,0,4
5646,6144.768685,0,0,4
7340,4790.240813,0,1,4
4358,2097.12893,0,0,4
2836,1185.107111,1,0,2
314,1088.263081,1,0,4
4938,1251.456656,0,1,4
7488,5631.487821,0,1,3
4897,1321.610648,1,1,3
964,580.0697389,0,1,5
9939,5672.753791,1,1,3
1654,673.9015902,0,1,4
2642,1236.291583,1,1,4
4983,657.1195012,0,1,4
7336,4772.225208,0,1,2
6353,5640.198172,0,1,5
2348,2148.657258,0,1,4
5214,5529.433476,0,0,4
9013,5452.591282,0,1,3
2983,900.0678019,0,1,3
7151,5403.266437,1,1,2
2151,1362.860416,0,1,3
1822,1104.883551,1,0,3
8903,3419.03694,0,0,2
1670,780.2278932,1,0,6
5439,6503.984053,0,1,4
8385,4429.501145,0,1,3
5324,5830.697844,1,1,1
4254,1741.511236,1,1,4
7164,6150.804869,0,1,4
6257,6321.838223,0,1,5
4554,398.8495205,0,1,4
6938,5992.97277,0,1,3
8955,6082.615608,1,1,3
3692,821.6574124,0,1,4
1139,1241.311162,1,1,4
5547,5145.473955,1,0,5
1684,2115.879744,1,1,3
4860,1454.178463,0,1,5
665,1766.503802,1,1,3
7595,5768.104658,0,0,3
6138,6396.483969,1,1,4
8613,5842.329497,0,1,3
3896,865.1029349,0,0,3
7972,4819.017885,0,1,4
1485,1099.763014,1,1,3
9196,4957.435146,1,0,4
7809,6211.505298,0,0,3
6827,6471.220737,1,1,5
6584,5856.252247,1,1,4
2677,492.0307787,0,1,3
408,1566.001524,0,1,3
4608,2693.549899,0,0,3
9406,5245.350989,0,1,3
8764,3735.933485,1,1,4
2785,733.0960018,1,1,4
1455,1698.876321,0,1,5
1005,1477.960194,1,0,3
9494,4752.863118,1,1,4
4969,1017.061783,1,1,2
7424,5060.874121,0,1,3
7775,5658.119795,1,1,5
8593,6771.922364,1,1,3
719,1114.13669,0,1,2
6019,4611.303594,0,0,3
9625,5710.355112,1,1,3
8937,5012.390451,0,1,4
559,1043.790368,0,1,3
7974,5868.925353,1,0,4
2703,1150.114958,0,0,3
1051,2020.504216,0,0,3
3225,1628.215009,0,0,5
7850,4439.207305,0,0,4
2664,834.0925038,1,0,3
5768,5514.944335,1,0,4
4639,1175.542116,0,1,3
8089,4073.89846,1,1,3
8502,4738.397058,0,0,3
6386,5761.616471,1,0,3
5474,4899.179172,0,0,4
2020,722.0796766,0,0,3
3292,1112.439443,0,1,3
2976,1180.763502,0,0,3
666,333.3304389,0,0,3
2254,906.5332012,0,1,3
2150,1326.549878,0,0,4
5192,5932.37794,1,1,5
2913,1308.7086,0,1,4
804,1232.913132,1,1,5
5512,5663.31815,1,1,5
4582,1381.709993,0,0,6
9861,5696.949378,1,0,1
7731,6235.847135,1,1,4
7917,5310.127657,0,1,5
9385,5833.372426,0,1,6
7928,6286.517671,1,1,3
6322,5250.409842,0,1,4
7517,4173.931741,1,0,2
8896,6710.02165,0,1,4
8544,6360.392801,1,0,4
8473,6519.120707,1,1,3
6956,3927.326903,1,1,2
558,382.5347203,0,1,3
2456,1322.686843,1,1,4
3921,1178.011696,0,1,2
6406,5372.80048,0,0,3
652,1243.478237,1,0,2
6561,5055.080442,0,1,4
8975,5672.886971,1,0,4
2349,2221.185633,0,1,4
5671,5227.179847,1,1,5
7455,5175.09924,1,0,3
3690,939.4887657,1,1,4
306,649.3891796,0,0,4
7672,4724.312922,0,1,3
5845,5848.90356,0,0,4
3859,978.4054903,1,0,4
8991,6058.185844,1,1,5
4737,1602.940552,1,1,3
2378,1853.873709,0,0,3
2765,540.3210772,1,1,2
2814,1078.756333,1,1,3
545,1489.301457,1,0,3
2026,1557.79907,1,0,4
9283,5147.808018,1,0,3
3615,988.3464184,0,0,4
1484,732.0802458,1,0,4
6743,5888.414969,1,1,4
8842,4938.967049,0,0,2
6476,5717.95214,0,1,4
9025,6419.007711,0,1,4
4696,1333.45659,0,0,5
8221,5489.502601,1,0,4
4166,885.8344713,1,0,3
6350,5853.398686,0,1,5
9951,6366.303939,0,1,1
1838,1164.843819,0,1,3
6617,6000.14462,0,0,4
3364,1504.498094,0,1,2
4904,1934.499334,1,0,2
6338,5433.979472,0,0,3
1574,629.4411174,0,0,3
7593,5412.849843,1,1,3
4703,2212.982101,1,1,5
4821,2823.145964,1,0,2
2352,1151.98874,1,1,4
1656,316.7739538,1,0,2
2904,1254.859385,1,1,4
1883,1178.564131,1,0,4
5015,6715.662535,0,1,2
1132,875.1196392,1,0,3
6718,3726.308369,0,0,3
1297,1140.151122,0,0,4
1650,1540.140383,0,0,3
7771,5192.718983,1,1,3
1638,1262.531104,0,1,5
4936,1536.961227,1,0,4
6436,5831.95427,0,1,5
8322,4267.521539,0,0,3
6158,5203.543626,0,0,2
3407,1080.503708,1,0,3
3707,871.4588583,1,0,3
6814,4626.844847,1,1,4
8012,5897.274439,1,0,3
9521,5730.642149,0,0,4
2354,822.7908952,0,0,4
4802,1475.739164,1,0,4
8034,5249.77275,1,0,2
3691,1149.009681,0,0,3
6923,5695.993093,1,1,4
5500,4993.628447,1,0,3
9513,5953.612372,0,1,4
2182,1197.913731,0,0,5
9518,5031.554237,0,1,4
3016,1330.308571,1,0,2
8667,6018.467281,1,1,4
4642,923.5059358,0,0,3
1448,985.3722849,1,1,4
4804,1684.339812,0,0,3
5716,5151.21569,0,0,3
5718,4281.425931,0,0,4
8103,6308.988621,0,0,5
3220,557.9519675,0,1,4
9059,3603.27849,1,1,2
9706,6340.697833,0,0,2
635,857.6130334,0,0,3
3178,1235.112132,1,0,2
3070,1554.131756,0,0,5
8917,5688.797995,0,1,1
2037,1388.550492,0,0,3
956,1663.694612,0,0,4
793,639.7187297,0,0,2
7225,4614.576112,0,1,2
3449,1335.96148,1,0,4
1855,1862.842794,0,1,3
5222,5260.656937,0,1,2
6188,4206.724875,0,0,4
9815,5156.018701,0,1,3
8513,6261.418751,0,0,4
2774,2037.009094,1,0,3
8210,4138.249014,1,1,4
593,1795.270512,0,0,4
607,1290.274294,1,0,3
1384,1076.076012,0,1,4
220,1342.862457,1,1,3
2473,716.6438092,1,1,5
4555,545.3992275,0,0,4
8909,6364.501793,0,1,4
8339,5739.899898,1,0,3
5634,4243.908817,1,0,5
4205,696.77888,0,0,4
2688,2047.373281,0,0,3
6325,5819.382147,0,0,4
7232,6293.395149,1,0,5
9424,5746.521769,1,1,4
3760,783.7920101,1,1,3
5735,6399.222377,1,0,2
5128,5349.831255,1,0,5
2589,2354.102724,1,0,3
3297,1189.205287,1,1,4
2576,530.0519539,0,0,3
5737,5615.849093,1,1,4
283,929.2607767,0,0,3
8231,5471.244549,0,0,4
4882,873.3472232,1,0,4
250,558.3751762,0,0,1
9551,5790.905465,0,0,4
3914,760.8370835,0,1,5
1917,758.0522649,0,0,3
8238,4382.473953,1,1,5
8620,5932.432985,0,1,4
5387,5441.933092,1,1,3
9334,6529.773925,1,0,4
389,1035.183038,1,1,4
6640,5280.699717,1,1,4
4443,1999.438675,0,0,5
926,1083.381195,1,0,1
6247,5649.03958,1,1,3
7073,6110.185041,0,0,3
228,1333.894229,1,1,5
5147,5707.70468,1,0,6
441,1149.108155,1,1,2
3385,924.0477339,1,1,4
7005,6349.636467,0,1,3
1930,2353.856438,0,0,4
7381,4744.550399,1,0,3
2886,1756.84915,1,0,4
4422,2057.979176,1,0,5
901,1766.074131,1,0,4
3089,2235.623805,0,0,2
9005,6236.37892,0,0,4
8633,4286.838179,0,1,4
4336,2119.656047,0,1,4
8306,6261.739568,0,0,3
8663,4129.318617,1,0,3
3942,3174.219068,1,0,3
7406,3916.615527,0,1,5
6276,5770.359583,0,0,4
6757,5911.270713,1,1,4
1072,2001.502073,1,0,2
5934,4724.802444,0,1,4
5066,5556.247274,0,1,2
1856,1446.505628,0,0,3
4244,959.8322448,1,1,3
4686,932.0065474,0,1,3
521,2101.344074,1,0,4
3332,2792.394717,1,0,1
8699,6244.295389,1,0,5
9232,5651.302353,0,0,3
2984,1423.721197,1,0,4
2043,1757.837077,1,1,5
6474,4013.312414,0,0,3
1588,819.3644961,0,1,3
4576,1024.765594,0,1,3
1848,1294.790222,0,0,3
7736,4909.571736,0,1,3
8255,5540.602926,0,1,4
8341,6273.353878,0,0,4
5307,4465.392448,0,1,3
8031,6818.04834,0,0,4
7111,5483.967712,1,0,4
3857,2120.230349,0,1,5
264,1662.533055,1,0,3
7617,4855.947409,0,0,2
4968,688.2220572,0,1,6
9270,4657.315652,1,0,3
7443,6597.462528,1,1,3
4773,1099.874685,1,1,4
6563,6241.530828,0,1,3
554,1883.962411,0,0,3
8360,5229.143504,1,1,5
1374,495.8370195,0,0,4
7705,5544.892096,1,0,3
7875,5274.080857,0,1,3
3108,1403.833391,0,1,2
7604,5413.209537,1,0,1
8208,3503.174329,0,0,5
7290,5947.364442,1,0,5
556,844.8711719,1,0,5
8229,6039.331412,1,0,4
9810,5867.267664,1,1,5
8872,6594.127635,0,0,3
4407,311.8065152,1,0,3
3533,1485.319376,0,1,4
4300,1104.302871,1,0,3
9664,5144.456729,0,1,4
3680,1022.929869,0,0,4
9198,5893.622644,0,1,2
4778,1214.121186,1,0,4
8974,6212.33447,1,1,3
8813,5544.621469,1,1,4
9472,5958.960225,0,0,2
6294,4674.111818,0,1,3
7301,5126.470699,0,1,2
5762,5004.36005,0,1,4
9581,5757.58642,1,0,4
5037,5978.20414,1,1,6
5157,6569.215906,0,1,6
1952,1154.39778,0,0,4
2144,1179.636227,1,0,5
2952,1567.299499,0,1,5
9111,5052.572623,1,1,2
9965,6442.7758,0,0,3
1557,1380.893387,1,1,4
3605,1782.001605,0,0,5
2402,1058.643568,0,0,3
7170,5437.952701,1,1,3
120,1403.270091,0,1,3
4469,1027.652777,0,0,4
562,1350.716866,1,1,4
3082,1091.519949,1,1,4
7613,4835.577166,0,1,3
803,2208.615485,0,1,1
2198,746.7953574,0,0,7
7199,6087.466768,0,0,4
2570,494.8412692,0,1,4
6155,5111.961455,0,0,4
3976,924.9352116,1,1,4
8198,5727.737286,0,0,3
9227,5736.40115,1,1,2
5490,6015.544544,1,0,4
7324,4610.488208,0,1,5
5482,4226.329148,1,0,4
6025,4826.319401,0,1,2
2285,1791.953298,0,0,2
7537,6000.369501,0,1,1
4221,577.0059283,0,1,4
5181,6044.380838,0,0,3
8638,6129.316509,0,1,2
18,882.0985933,1,0,3
5108,4152.530591,1,0,3
8496,6087.218845,0,1,4
1994,854.52613,1,1,5
5216,4137.953493,0,1,3
6464,4665.805714,0,0,3
1029,1077.996673,1,1,3
5119,3877.950833,0,1,3
8817,5599.71353,1,0,2
8169,6304.333517,0,1,3
2604,460.5286853,0,1,3
6745,4967.421648,1,0,3
1687,1319.229599,1,0,3
2897,1212.659466,0,1,3
8646,5340.455949,0,1,3
3351,1276.752415,1,1,4
5856,5404.784064,0,0,1
3717,320.9812888,0,0,4
8249,5780.016925,1,0,3
176,1357.062854,1,0,4
402,794.9581116,0,0,3
3073,919.239022,0,0,2
7102,6359.779951,1,0,5
5981,5764.291132,0,1,3
8602,5155.773559,1,1,4
6711,3171.439732,0,0,3
7886,5181.030493,1,1,3
5436,4862.320826,0,0,4
1038,565.4577938,0,0,4
7277,5993.09022,0,1,3
6331,5064.686588,0,1,3
8081,4420.056022,0,1,2
9499,5444.825706,0,1,5
6706,6023.851747,1,1,3
6682,6180.330948,0,0,2
9831,6173.823033,1,0,5
2412,1361.469601,1,1,4
6697,5140.463847,0,0,4
985,1352.986244,1,0,2
6433,6188.322388,0,1,5
8190,5842.282612,0,0,3
730,3113.451696,1,0,5
6999,6677.35743,1,0,2
3656,2710.699322,0,0,4
9641,6220.114553,0,1,4
5591,5757.753614,0,0,6
1122,305.7666287,0,0,4
3064,381.1393824,0,0,4
9268,5932.680423,1,1,4
5298,5794.255165,0,1,2
9419,3968.64853,0,0,3
6860,5258.0441,1,0,5
5559,4231.393427,0,0,5
8434,5350.10612,0,0,3
1677,522.4564791,0,0,3
1976,1348.141984,1,0,3
1854,1329.382263,0,0,4
8694,6166.262519,1,0,4
4249,1795.593522,1,1,2
5834,6385.814454,0,1,3
7912,4694.576597,0,1,3
385,1828.279015,1,1,4
6185,6651.677415,0,1,3
706,1982.131752,1,0,4
3245,1037.253154,0,1,4
944,771.5712211,0,0,4
8464,6048.807482,0,0,3
4314,1984.206498,1,1,2
7921,4495.259979,1,1,3
7435,5562.243986,1,0,5
2496,2329.543371,0,1,4
2511,834.8359967,0,1,4
2941,1752.536989,1,0,4
7257,5587.309027,0,0,3
7319,5799.124998,0,1,2
4016,608.6804201,1,0,4
8535,5820.087969,0,0,4
9652,4220.274809,1,0,4
5632,5526.487954,0,1,4
5019,6388.31821,1,1,5
6059,6109.837555,0,0,3
7318,4122.56284,0,0,4
7843,6122.640412,0,0,4
6327,6538.478003,0,1,3
5637,4984.849588,0,0,5
8776,3838.72543,0,1,1
8458,5837.201318,1,1,4
4786,1894.547126,0,0,3
5989,6319.032596,1,1,4
5703,6106.678679,1,0,4
6611,4194.161012,1,1,2
5105,5017.628209,1,0,3
7127,4701.013371,0,0,4
2240,590.380115,1,0,4
9200,4443.076355,0,0,4
5888,5514.922539,1,0,5
8175,6534.959838,1,1,1
4591,2140.11456,0,0,5
7655,6165.207912,0,1,3
9039,5449.331954,0,0,2
6624,4918.416016,0,0,3
3398,1262.139061,1,1,3
9192,4480.306619,0,1,4
2032,1399.828665,0,0,3
3120,2083.35956,1,1,3
9535,5218.302234,1,1,3
5276,4367.354584,0,1,6
2359,612.0541917,0,1,3
4570,1183.666028,0,1,2
1690,1254.943448,0,0,3
3474,1163.746203,1,0,3
8846,4863.296508,0,1,3
3872,1054.031935,0,0,3
4749,906.6526156,0,1,5
8138,5999.863942,0,0,4
3517,2196.794349,0,1,5
5892,4050.379301,0,0,2
9691,4315.294634,1,0,5
7903,6144.675099,1,0,5
4913,1943.387485,0,1,3
3306,2255.363032,1,1,5
1091,1228.657511,0,0,4
2719,730.8534585,1,1,4
589,1299.066214,0,1,5
661,961.1315871,1,1,3
5,271.4934362,0,0,4
7538,6863.899773,1,0,1
9235,6578.562564,0,0,5
3428,721.7486176,0,0,5
785,868.469474,0,1,3
1310,1460.729298,1,1,4
6780,4594.301628,1,1,4
4251,787.75587,0,1,3
2879,765.1823242,0,0,4
2327,1903.763394,0,1,3
9779,4779.865673,0,0,4
2462,1290.155524,1,1,4
1513,2029.97992,1,0,4
7871,6348.492212,0,0,3
5999,6115.579407,1,0,3
5532,5627.453779,0,1,3
6193,6031.527231,0,1,4
2436,2643.645671,0,0,4
6063,4178.995617,1,1,4
983,600.0687482,1,1,3
201,815.194738,1,0,3
3490,864.4642177,0,1,4
8070,6545.083981,0,0,3
9705,6310.388284,1,0,4
6806,3367.528814,0,0,4
4105,1654.594685,1,0,5
1225,1890.385398,0,0,2
5986,4677.936927,0,0,4
2944,1163.07255,1,1,3
9742,5453.05668,1,1,3
3179,2255.21511,1,1,5
7584,3459.851822,1,0,2
5026,5459.257498,0,1,3
6271,5800.854441,1,1,3
4425,856.222981,0,1,6
5578,5592.352902,1,1,4
5813,4477.609834,0,1,3
55,1296.674543,1,0,4
5426,5913.125552,1,0,4
8861,4303.028243,0,0,2
8829,6036.967859,0,0,3
1087,1389.451264,1,0,4
2713,1170.830123,1,0,4
1391,831.4033785,0,1,5
1535,1819.555319,1,0,3
6952,5006.001706,0,0,4
8042,5254.650966,1,0,5
5881,6125.821735,0,1,3
3166,1045.674943,0,1,3
9832,6076.32804,0,0,4
1628,631.4316327,0,0,4
7975,4200.226885,0,1,3
8577,3741.804448,1,0,2
23,713.0633088,0,0,2
3902,1835.292593,1,1,2
5389,4899.758441,1,0,5
9486,6572.634947,0,1,2
6577,5826.009497,0,1,4
5494,5662.285046,1,1,3
1462,1336.534659,1,1,3
8497,6163.633177,0,1,4
2403,1110.224942,1,0,3
9612,6004.101327,1,0,4
5524,5484.119427,0,1,3
1222,2123.334993,0,0,5
2606,296.0266799,1,0,3
8363,4032.926983,0,1,4
